$ Temp,,,,,
,,,,,
JDAY,Temp,,,,
120.75,25.27, ,, , 
121,22.99, ,, , 
121.25,21.75, ,, , 
121.5,24.32, ,, , 
121.75,25.99, ,, , 
122,23.64, ,, , 
122.25,22.86, ,, , 
122.5,24.06, ,, , 
122.75,25.05, ,, , 
123,23.42, ,, , 
123.25,22.48, ,, , 
123.5,24.58, ,, , 
123.75,25.05, ,, , 
124,22.78, ,, , 
124.25,21.58, ,, , 
124.5,24.19, ,, , 
124.75,25.22, ,, , 
125,22.95, ,, , 
125.25,21.49, ,, , 
125.5,24.32, ,, , 
125.75,26.21, ,, , 
126,23.55, ,, , 
126.25,22.61, ,, , 
126.5,25.18, ,, , 
126.75,24.62, ,, , 
127,23.42, ,, , 
127.25,22.86, ,, , 
127.5,24.32, ,, , 
127.75,24.88, ,, , 
128,22.61, ,, , 
128.25,21.79, ,, , 
128.5,23.89, ,, , 
128.75,24.75, ,, , 
129,22.43, ,, , 
129.25,21.53, ,, , 
129.5,23.94, ,, , 
129.75,24.49, ,, , 
130,22.18, ,, , 
130.25,21.49, ,, , 
130.5,23.64, ,, , 
130.75,24.58, ,, , 
131,22.18, ,, , 
131.25,21.06, ,, , 
131.5,24.11, ,, , 
131.75,25.35, ,, , 
132,22.86, ,, , 
132.25,21.58, ,, , 
132.5,24.45, ,, , 
132.75,25.65, ,, , 
133,23.08, ,, , 
133.25,21.66, ,, , 
133.5,24.75, ,, , 
133.75,25.87, ,, , 
134,23.08, ,, , 
134.25,21.53, ,, , 
134.5,24.79, ,, , 
134.75,26.21, ,, , 
135,23.46, ,, , 
135.25,22.18, ,, , 
135.5,25.14, ,, , 
135.75,26.25, ,, , 
136,23.81, ,, , 
136.25,22.65, ,, , 
136.5,25.39, ,, , 
136.75,26.55, ,, , 
137,23.72, ,, , 
137.25,22.35, ,, , 
137.5,25.27, ,, , 
137.75,26.04, ,, , 
138,23.94, ,, , 
138.25,22.78, ,, , 
138.5,25.18, ,, , 
138.75,25.91, ,, , 
139,22.86, ,, , 
139.25,21.15, ,, , 
139.5,24.36, ,, , 
139.75,25.52, ,, , 
140,23.08, ,, , 
140.25,22.56, ,, , 
140.5,25.09, ,, , 
140.75,25.99, ,, , 
141,23.55, ,, , 
141.25,22.82, ,, , 
141.5,25.52, ,, , 
141.75,26.04, ,, , 
142,23.29, ,, , 
142.25,22.52, ,, , 
142.5,25.74, ,, , 
142.75,25.95, ,, , 
143,23.72, ,, , 
143.25,23.42, ,, , 
143.5,26.08, ,, , 
143.75,26.42, ,, , 
144,23.85, ,, , 
144.25,23.03, ,, , 
144.5,25.82, ,, , 
144.75,26.51, ,, , 
145,23.94, ,, , 
145.25,23.68, ,, , 
145.5,25.99, ,, , 
145.75,26.3, ,, , 
146,23.38, ,, , 
146.25,22.69, ,, , 
146.5,25.57, ,, , 
146.75,25.69, ,, , 
147,23.25, ,, , 
147.25,22.91, ,, , 
147.5,25.61, ,, , 
147.75,26.04, ,, , 
148,23.38, ,, , 
148.25,23.46, ,, , 
148.5,26.12, ,, , 
148.75,26.42, ,, , 
149,23.59, ,, , 
149.25,22.99, ,, , 
149.5,26.17, ,, , 
149.75,26.6, ,, , 
150,23.42, ,, , 
150.25,22.95, ,, , 
150.5,26.21, ,, , 
150.75,26.34, ,, , 
151,23.68, ,, , 
151.25,23.55, ,, , 
151.5,26.3, ,, , 
151.75,25.99, ,, , 
152,24.02, ,, , 
152.25,24.24, ,, , 
152.5,26.6, ,, , 
152.75,26.81, ,, , 
153,24.28, ,, , 
153.25,24.02, ,, , 
153.5,26.42, ,, , 
153.75,26.94, ,, , 
154,24.36, ,, , 
154.25,23.85, ,, , 
154.5,26.38, ,, , 
154.75,26.94, ,, , 
155,24.54, ,, , 
155.25,23.94, ,, , 
155.5,26.38, ,, , 
155.75,26.47, ,, , 
156,24.41, ,, , 
156.25,23.81, ,, , 
156.5,26.34, ,, , 
156.75,26.64, ,, , 
157,24.58, ,, , 
157.25,24.19, ,, , 
157.5,25.48, ,, , 
157.75,25.82, ,, , 
158,24.19, ,, , 
158.25,23.89, ,, , 
158.5,25.99, ,, , 
158.75,26.72, ,, , 
159,24.66, ,, , 
159.25,24.19, ,, , 
159.5,25.65, ,, , 
159.75,26.21, ,, , 
160,24.32, ,, , 
160.25,23.98, ,, , 
160.5,25.82, ,, , 
160.75,26.51, ,, , 
161,24.19, ,, , 
161.25,23.38, ,, , 
161.5,25.91, ,, , 
161.75,26.68, ,, , 
162,24.19, ,, , 
162.25,23.42, ,, , 
162.5,26.21, ,, , 
162.75,26.72, ,, , 
163,24.36, ,, , 
163.25,23.85, ,, , 
163.5,26.21, ,, , 
163.75,26.64, ,, , 
164,24.45, ,, , 
164.25,23.98, ,, , 
164.5,25.95, ,, , 
164.75,26.38, ,, , 
165,24.32, ,, , 
165.25,24.06, ,, , 
165.5,26.04, ,, , 
165.75,26.47, ,, , 
166,24.19, ,, , 
166.25,23.68, ,, , 
166.5,26.08, ,, , 
166.75,26.68, ,, , 
167,24.41, ,, , 
167.25,23.72, ,, , 
167.5,26.25, ,, , 
167.75,26.47, ,, , 
168,24.54, ,, , 
168.25,24.19, ,, , 
168.5,26.12, ,, , 
168.75,26.04, ,, , 
169,24.02, ,, , 
169.25,23.81, ,, , 
169.5,26.08, ,, , 
169.75,26.12, ,, , 
170,23.94, ,, , 
170.25,23.38, ,, , 
170.5,25.91, ,, , 
170.75,25.95, ,, , 
171,23.89, ,, , 
171.25,23.55, ,, , 
171.5,25.95, ,, , 
171.75,26.17, ,, , 
172,23.98, ,, , 
172.25,23.51, ,, , 
172.5,25.99, ,, , 
172.75,26.12, ,, , 
173,23.98, ,, , 
173.25,23.72, ,, , 
173.5,25.82, ,, , 
173.75,26.08, ,, , 
174,23.98, ,, , 
174.25,23.64, ,, , 
174.5,25.91, ,, , 
174.75,26.21, ,, , 
175,24.02, ,, , 
175.25,23.89, ,, , 
175.5,26.3, ,, , 
175.75,26.51, ,, , 
176,24.24, ,, , 
176.25,23.85, ,, , 
176.5,26.34, ,, , 
176.75,26.77, ,, , 
177,24.24, ,, , 
177.25,23.76, ,, , 
177.5,26.25, ,, , 
177.75,27.37, ,, , 
178,25.05, ,, , 
178.25,23.98, ,, , 
178.5,26.38, ,, , 
178.75,27.24, ,, , 
179,24.54, ,, , 
179.25,23.98, ,, , 
179.5,25.91, ,, , 
179.75,26.55, ,, , 
180,24.66, ,, , 
180.25,24.24, ,, , 
180.5,25.82, ,, , 
180.75,26.64, ,, , 
181,24.49, ,, , 
181.25,24.19, ,, , 
181.5,25.99, ,, , 
181.75,27.11, ,, , 
182,25.01, ,, , 
182.25,24.54, ,, , 
182.5,26.55, ,, , 
182.75,27.11, ,, , 
183,24.71, ,, , 
183.25,23.85, ,, , 
183.5,26.12, ,, , 
183.75,26.98, ,, , 
184,24.54, ,, , 
184.25,24.11, ,, , 
184.5,26.42, ,, , 
184.75,26.94, ,, , 
185,24.71, ,, , 
185.25,24.11, ,, , 
185.5,26.42, ,, , 
185.75,26.9, ,, , 
186,24.54, ,, , 
186.25,24.02, ,, , 
186.5,26.38, ,, , 
186.75,26.9, ,, , 
187,24.66, ,, , 
187.25,24.15, ,, , 
187.5,26.34, ,, , 
187.75,27.02, ,, , 
188,24.88, ,, , 
188.25,24.58, ,, , 
188.5,26.51, ,, , 
188.75,27.11, ,, , 
189,24.97, ,, , 
189.25,24.75, ,, , 
189.5,26.34, ,, , 
189.75,27.63, ,, , 
190,25.22, ,, , 
190.25,24.62, ,, , 
190.5,26.81, ,, , 
190.75,27.93, ,, , 
191,25.27, ,, , 
191.25,24.58, ,, , 
191.5,26.77, ,, , 
191.75,27.97, ,, , 
192,25.35, ,, , 
192.25,24.28, ,, , 
192.5,26.55, ,, , 
192.75,27.84, ,, , 
193,25.14, ,, , 
193.25,24.32, ,, , 
193.5,26.51, ,, , 
193.75,27.93, ,, , 
194,25.35, ,, , 
194.25,24.71, ,, , 
194.5,26.34, ,, , 
194.75,27.32, ,, , 
195,24.88, ,, , 
195.25,24.15, ,, , 
195.5,26.38, ,, , 
195.75,27.58, ,, , 
196,24.97, ,, , 
196.25,24.19, ,, , 
196.5,26.38, ,, , 
196.75,27.37, ,, , 
197,24.97, ,, , 
197.25,24.41, ,, , 
197.5,26.38, ,, , 
197.75,27.71, ,, , 
198,25.18, ,, , 
198.25,24.32, ,, , 
198.5,26.38, ,, , 
198.75,28.05, ,, , 
199,25.57, ,, , 
199.25,24.84, ,, , 
199.5,26.77, ,, , 
199.75,27.71, ,, , 
200,25.22, ,, , 
200.25,24.36, ,, , 
200.5,26.51, ,, , 
200.75,27.63, ,, , 
201,25.14, ,, , 
201.25,24.41, ,, , 
201.5,26.6, ,, , 
201.75,27.63, ,, , 
202,25.27, ,, , 
202.25,24.54, ,, , 
202.5,26.6, ,, , 
202.75,27.63, ,, , 
203,25.22, ,, , 
203.25,24.54, ,, , 
203.5,26.72, ,, , 
203.75,27.88, ,, , 
204,25.35, ,, , 
204.25,24.62, ,, , 
204.5,26.81, ,, , 
204.75,27.88, ,, , 
205,25.18, ,, , 
205.25,24.06, ,, , 
205.5,26.6, ,, , 
205.75,27.67, ,, , 
206,25.01, ,, , 
206.25,24.24, ,, , 
206.5,26.6, ,, , 
206.75,27.71, ,, , 
207,25.09, ,, , 
207.25,24.11, ,, , 
207.5,26.6, ,, , 
207.75,27.67, ,, , 
208,25.14, ,, , 
208.25,24.54, ,, , 
208.5,26.6, ,, , 
208.75,27.67, ,, , 
209,25.27, ,, , 
209.25,24.75, ,, , 
209.5,26.72, ,, , 
209.75,27.71, ,, , 
210,25.05, ,, , 
210.25,24.24, ,, , 
210.5,26.6, ,, , 
210.75,27.71, ,, , 
211,25.01, ,, , 
211.25,23.81, ,, , 
211.5,26.42, ,, , 
211.75,27.8, ,, , 
212,25.31, ,, , 
212.25,24.54, ,, , 
212.5,26.9, ,, , 
212.75,27.88, ,, , 
213,25.35, ,, , 
213.25,24.88, ,, , 
213.5,27.11, ,, , 
213.75,27.75, ,, , 
214,25.14, ,, , 
214.25,24.71, ,, , 
214.5,26.6, ,, , 
214.75,27.67, ,, , 
215,25.18, ,, , 
215.25,24.62, ,, , 
215.5,26.47, ,, , 
215.75,27.67, ,, , 
216,25.18, ,, , 
216.25,24.62, ,, , 
216.5,26.72, ,, , 
216.75,27.93, ,, , 
217,25.31, ,, , 
217.25,24.71, ,, , 
